mesh_file,np,SFC_lambda,SFC_lambda_expr,SFC_rho_max,SFC_rho_max_expr,SFC_rho_min,SFC_rho_min_expr,grow_lambda,grow_lambda_expr,grow_rho_max,grow_rho_max_expr,grow_rho_min,grow_rho_min_expr,metis_lambda,metis_lambda_expr,metis_rho_max,metis_rho_max_expr,metis_rho_min,metis_rho_min_expr
/home/budvin/research/Partitioning/Meshes/10k_tet/118309_sf_hexa.mesh_4750_16147.obj.mesh,9,0.03658827268393453,5526/151032,1.000103046306434,8627/8626,0.9999871192116957,8626/8626,0.017161925949467662,2592/151032,1.3114832227732336,11313/8626,0.8095189025568365,6983/8626,0.01058053922347582,1598/151032,1.027577767759387,8864/8626,0.9893218264957815,8534/8626
/home/budvin/research/Partitioning/Meshes/10k_tet/1215417_sf_hexa.mesh_4318_16046.obj.mesh,9,0.03987919733921726,6127/153639,1.0000127101948473,8742/8741,0.9998983184412217,8741/8741,0.029660437779470056,4557/153639,1.0885519275010487,9516/8741,0.9225694929903275,8065/8741,0.01870618788198309,2874/153639,1.029182607369371,8997/8741,0.9735882151073376,8511/8741
/home/budvin/research/Partitioning/Meshes/10k_tet/200007_sf_hexa.mesh_4846_16653.obj.mesh,9,0.04183756647301616,6467/154574,1.0000377429703717,8832/8831,0.9999245140592565,8831/8831,0.024525470001423265,3791/154574,1.2310247216455936,10872/8831,0.7953198716739008,7024/8831,0.013540440177520152,2093/154574,1.0139648990375543,8955/8831,0.988601622947726,8731/8831
/home/budvin/research/Partitioning/Meshes/10k_tet/42836_sf_hexa.mesh_4992_16853.obj.mesh,9,0.037551657518647884,5870/156318,1.0000994938251644,8935/8934,0.9999875632718545,8934/8934,0.020765362914059803,3246/156318,1.8196550051612421,16257/8934,0.5001057121892373,4468/8934,0.013562097775048298,2120/156318,1.0284179238126034,9188/8934,0.9849888691283097,8800/8934
/home/budvin/research/Partitioning/Meshes/10k_tet/57181_sf_hexa.mesh_5006_17194.obj.mesh,9,0.0351090494182784,5631/160386,1.00003639142618,9160/9159,0.9999272171476401,9159/9159,0.018031499008641653,2892/160386,2.123548891881073,19451/9159,0.513555806252047,4704/9159,0.01189006521766239,1907/160386,1.0296226209105135,9431/9159,0.9802758470104445,8979/9159
/home/budvin/research/Partitioning/Meshes/10k_tet/87431_sf_hexa.mesh_5100_18180.obj.mesh,9,0.035338801122915174,5778/163503,1.0000237829096013,9344/9343,0.9999167598163959,9343/9343,0.0243420610019388,3980/163503,1.4846243489428497,13872/9343,0.7208005327371751,6735/9343,0.011002856216705504,1799/163503,1.0299902490070636,9624/9343,0.9830071110899707,9185/9343
/home/budvin/research/Partitioning/Meshes/10k_tet/40845_sf_hexa.mesh_4936_17372.obj.mesh,9,0.03370689972626953,5492/162934,1.0000955577586927,9303/9302,0.9999880552801634,9302/9302,0.022487633029324758,3664/162934,1.2600365508427,11721/9302,0.8759301950572749,8148/9302,0.013152564842206046,2143/162934,1.0127808502251578,9421/9302,0.9733274406048806,9054/9302
/home/budvin/research/Partitioning/Meshes/10k_tet/76902_sf_hexa.mesh_5026_17165.obj.mesh,9,0.03692330278821097,6036/163474,1.0000954653937948,9312/9311,0.9999880668257757,9311/9311,0.02509267528781335,4102/163474,1.0759188544152745,10018/9311,0.938126491646778,8735/9311,0.017011879564946108,2781/163474,1.0082577565632458,9388/9311,0.9768973747016706,9096/9311
/home/budvin/research/Partitioning/Meshes/10k_tet/64576_sf_hexa.mesh_5298_17938.obj.mesh,9,0.019597846603909858,3229/164763,1.0000705815923208,9446/9445,0.9999647092038396,9445/9445,0.009176817610749986,1512/164763,1.442193675889328,13622/9445,0.6631846414455109,6264/9445,0.006269611502582497,1033/164763,1.0129870129870129,9568/9445,0.9755081874647091,9214/9445
/home/budvin/research/Partitioning/Meshes/10k_tet/87429_sf_hexa.mesh_5548_18916.obj.mesh,9,0.03319502074688797,5592/168459,1.0,9657/9657,1.0,9657/9657,0.016918063148896764,2850/168459,1.3607745676711194,13141/9657,0.6684270477373926,6455/9657,0.010174582539371597,1714/168459,1.03003003003003,9947/9657,0.9711090400745573,9378/9657
/home/budvin/research/Partitioning/Meshes/10k_tet/700908_sf_hexa.mesh_5182_18191.obj.mesh,9,0.03980096603720817,6831/171629,1.0000567272892296,9794/9793,0.9999546181686161,9793/9793,0.022612728618123978,3881/171629,1.3176160923974085,12904/9793,0.6292985103413847,6163/9793,0.01291157088836968,2216/171629,1.0208869878943965,9998/9793,0.975244210980134,9551/9793
/home/budvin/research/Partitioning/Meshes/10k_tet/67924_sf_hexa.mesh_4590_18334.obj.mesh,9,0.038291563633482906,6767/176723,1.0,10031/10031,1.0,10031/10031,0.02884174668832014,5097/176723,1.3868009171568139,13911/10031,0.348619280231283,3497/10031,0.01733220916349315,3063/176723,1.014953643704516,10181/10031,0.9768716977370152,9799/10031
/home/budvin/research/Partitioning/Meshes/10k_tet/67927_sf_hexa.mesh_4660_18393.obj.mesh,9,0.03864884871625044,6944/179669,1.0000763333805873,10190/10189,0.9999781904626893,10189/10189,0.025992241288146537,4670/179669,1.2640807825261986,12880/10189,0.6029900875652923,6144/10189,0.016368989642064017,2941/179669,1.0263786353772504,10458/10189,0.9742647459734142,9927/10189
/home/budvin/research/Partitioning/Meshes/10k_tet/472076_sf_hexa.mesh_5296_18691.obj.mesh,9,0.0360301305922707,6376/176963,1.0000771052486643,10088/10087,0.9999779699289529,10087/10087,0.023903301820154495,4230/176963,1.2461309687723743,12570/10087,0.6642066420664207,6700/10087,0.013579109757406916,2403/176963,1.0291237539241063,10381/10087,0.974103651484276,9826/10087
/home/budvin/research/Partitioning/Meshes/10k_tet/375237_sf_hexa.mesh_5300_19291.obj.mesh,9,0.035373835881215954,6442/182112,1.0,10382/10382,1.0,10382/10382,0.02202490774907749,4011/182112,1.6881140435368909,17526/10382,0.5621267578501252,5836/10382,0.015287295730100159,2784/182112,1.0239838181467926,10631/10382,0.9725486418801772,10097/10382
/home/budvin/research/Partitioning/Meshes/10k_tet/1582412_sf_hexa.mesh_4590_19094.obj.mesh,9,0.03657640553687406,6820/186459,1.0000525475029425,10573/10572,0.9999579619976458,10572/10572,0.0259467228720523,4838/186459,1.0509395493526146,11111/10572,0.9209790650748275,9737/10572,0.015831898701591234,2952/186459,1.0219017992265007,10804/10572,0.9765953421893391,10325/10572
/home/budvin/research/Partitioning/Meshes/10k_tet/168074_sf_hexa.mesh_5604_19453.obj.mesh,9,0.03674158419118864,6660/181266,1.0,10348/10348,1.0,10348/10348,0.023589641741970365,4276/181266,1.329628913799768,13759/10348,0.3118477000386548,3227/10348,0.013786369203270333,2499/181266,1.0247390800154619,10604/10348,0.9713954387321222,10052/10348
/home/budvin/research/Partitioning/Meshes/10k_tet/97942_sf_hexa.mesh_4696_18792.obj.mesh,9,0.045528490320078434,8452/185642,1.0000634658712277,10505/10504,0.999968267064386,10504/10504,0.02953534221781709,5483/185642,1.1107796782280328,11668/10504,0.8291816075905182,8710/10504,0.018794238372782022,3489/185642,1.0299558912194966,10819/10504,0.9736933963760988,10228/10504
